t_days,rv_kms,sigma_rv_kms
0.3660,11.4381,0.9885
1.1327,14.2409,0.9854
1.4087,13.7509,0.6258
1.4358,13.8645,0.6960
1.5908,14.4744,1.1514
2.0995,31.2844,1.1746
2.5200,27.9962,0.8644
3.0862,20.3070,0.7383
3.4877,19.5886,1.2093
3.6013,18.2963,1.4764
4.2929,22.6086,1.4309
4.4941,23.9921,0.7442
4.5419,41.0537,0.5169
4.8363,25.9387,0.7211
4.9952,25.5397,0.9139
4.9963,11.1662,1.2463
6.2783,29.9976,1.4762
6.5528,31.2416,0.8001
7.0033,12.4988,0.7223
7.4569,30.9132,0.9176
7.5237,33.6246,0.7378
7.6916,34.5754,0.9118
7.7173,34.0224,0.9354
7.7595,35.4917,1.0903
8.5136,36.9489,0.7894
8.7170,18.7320,1.1219
8.9019,37.4102,1.0612
9.0640,38.9406,1.3969
9.1073,38.4892,1.3892
9.5728,39.8138,0.9168
