# SDSS J142754.77+635448.4 -- double-peaked broad H-alpha AGN (disk-emitter candidate)
# Source paper: Strateva, I. V., et al. 2003, AJ, 126, 1720, "Double-peaked Low-Ionization Emission Lines in AGN"
#   (arXiv:astro-ph/0307357), Table 1 (main sample), row "SDSS J142754.77+635448.4", z=0.1453, comment "2P" (two prominent peaks)
# Spectrum: SDSS Legacy spectrograph, plate-mjd-fiber = 499-51988-157, run2d=26, DR17 (identical to the DR7 reduction)
# URL downloaded: https://dr17.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/0499/spec-0499-51988-0157.fits
# Downloaded: 2026-09-16
# Fiber position (PLUG_RA, PLUG_DEC): 216.97822, 63.91346; pipeline CLASS=QSO, ZWARNING=0
# Redshift used for de-redshifting: SDSS pipeline z = 0.1460371 (Z_ERR = 3.03e-05) from HDU2 of the spec file
# wave_rest_A: rest-frame wavelength in Angstrom, IN AIR. The SDSS pipeline loglam is vacuum; converted vacuum->air with the
#   IAU (Morton 1991) formula used in the SDSS docs, air = vac/(1 + 2.735182e-4 + 131.4182/vac^2 + 2.76249e8/vac^4), then divided by (1+z).
#   So the narrow lines fall near the familiar air values (H-alpha 6562.8, [N II] 6548.0/6583.5, [S II] 6716.4/6730.8).
#   NOTE: the pipeline z is driven by the broad-line template and is ~0.0005 above the narrow-line redshift, so in this frame the
#   narrow peaks sit ~3 A blueward of those values (measured: narrow H-alpha peak 6559.7, [N II] 6583 peak 6580.8). A +/-8 A mask
#   at the nominal air wavelengths still covers them; a +/-12 A mask or a -3 A shift gives the same 1-vs-2-Gaussian verdict.
# flux: observed flux in SDSS units, 1e-17 erg/s/cm^2/A (no Galactic-extinction or host-galaxy correction applied)
# flux_err: 1/sqrt(ivar) in the same units; pixels with ivar == 0 were dropped (0 of 464 in this window)
# Window: rest-frame 6200-6900 A (464 pixels). Data are public: SDSS DR17 (https://www.sdss.org/dr17/). Acknowledgement per
#   https://www.sdss.org/collaboration/citing-sdss/ ("Funding for the Sloan Digital Sky Survey IV has been provided by the Alfred P. Sloan Foundation, ...").
wave_rest_A,flux,flux_err
6201.280,27.7453,0.5813
6202.710,27.7503,0.5809
6204.137,27.9525,0.5828
6205.564,28.0377,0.5852
6206.995,26.8267,0.5754
6208.423,27.2193,0.5796
6209.855,26.6108,0.5708
6211.283,26.0576,0.5624
6212.716,26.3940,0.5635
6214.145,26.9604,0.5701
6215.574,27.4477,0.5792
6217.008,27.5206,0.5847
6218.438,26.7893,0.5865
6219.872,26.7444,0.5863
6221.303,26.9854,0.5799
6222.737,27.5346,0.5822
6224.169,27.2660,0.5822
6225.601,26.4711,0.5719
6227.036,26.8148,0.5727
6228.469,27.3437,0.5803
6229.905,26.4479,0.5794
6231.338,26.5284,0.5850
6232.775,26.7111,0.5920
6234.209,26.7355,0.5935
6235.643,26.9159,0.5898
6237.081,26.5315,0.5737
6238.516,26.2144,0.5616
6239.955,26.3766,0.5570
6241.390,25.8958,0.5528
6242.830,26.1730,0.5590
6244.266,26.6612,0.5745
6245.702,27.1379,0.5855
6247.142,27.6592,0.5884
6248.580,27.2334,0.5810
6250.021,26.7802,0.5770
6251.458,26.4727,0.5705
6252.900,25.7860,0.5686
6254.338,26.2527,0.5801
6255.781,27.5033,0.5933
6257.220,25.8691,0.5825
6258.659,25.7564,0.5825
6260.103,26.5368,0.5880
6261.543,27.2313,0.5899
6262.987,27.1803,0.5864
6264.427,27.2173,0.5811
6265.872,26.9694,0.5769
6267.313,28.5032,0.5943
6268.755,27.3922,0.5913
6270.201,27.5251,0.5915
6271.643,27.3257,0.5847
6273.089,26.5009,0.5706
6274.533,27.7117,0.5863
6275.980,27.3848,0.5865
6277.423,26.9435,0.5872
6278.867,27.6764,0.5962
6280.315,28.4252,0.6033
6281.760,27.8573,0.6001
6283.209,27.3885,0.5923
6284.654,28.7853,0.6113
6286.103,28.7562,0.6102
6287.549,27.1651,0.5958
6288.996,27.5880,0.5894
6290.446,28.2553,0.5948
6291.893,28.8524,0.5996
6293.344,28.2270,0.5970
6294.792,28.2115,0.5937
6296.244,28.4502,0.5875
6297.692,28.3740,0.5944
6299.141,28.7565,0.6112
6300.593,28.0586,0.6073
6302.043,28.2553,0.5932
6303.496,27.8878,0.5984
6304.946,28.2651,0.7053
6306.400,30.1036,0.8248
6307.851,30.1877,0.8837
6309.302,30.2825,0.9056
6310.757,30.5494,0.9360
6312.209,29.3643,0.8541
6313.664,27.8324,0.9383
6315.117,29.5309,0.9852
6316.573,29.3135,1.0625
6318.026,30.3889,1.0187
6319.480,30.3777,0.8879
6320.937,27.1244,0.9407
6322.391,30.6246,1.0104
6323.849,28.5713,0.7619
6325.304,28.2042,0.7046
6326.762,27.3673,0.8076
6328.218,29.5694,0.8097
6329.674,28.4894,0.6947
6331.133,28.6718,0.6591
6332.590,27.9047,0.6328
6334.050,27.6862,0.6212
6335.507,26.7988,0.6077
6336.968,28.2540,0.6145
6338.426,28.1347,0.6196
6339.884,27.2090,0.6358
6341.346,28.6369,0.6710
6342.805,27.9333,0.6418
6344.268,28.9547,0.6408
6345.727,29.3554,0.7052
6347.190,33.1436,1.1121
6348.651,30.4447,1.4945
6350.111,32.2952,1.2425
6351.575,26.6123,0.8540
6353.037,27.8020,0.7461
6354.502,29.3606,0.8275
6355.963,28.7337,0.8398
6357.429,28.7874,0.7628
6358.892,27.1010,0.6507
6360.354,27.8125,0.6539
6361.821,28.8917,0.6610
6363.285,28.0912,0.6534
6364.752,30.0830,0.6949
6366.216,30.6743,0.7092
6367.684,29.4051,0.6748
6369.149,29.4220,0.6549
6370.618,29.5992,0.7024
6372.083,31.7068,0.8035
6373.549,30.8214,0.8063
6375.019,28.9143,0.7150
6376.486,27.9866,0.6875
6377.956,30.8951,0.7121
6379.423,29.7548,0.6848
6380.894,30.7215,0.7522
6382.362,32.9914,1.0316
6383.831,32.9341,1.1854
6385.303,28.6251,1.0108
6386.772,28.7630,0.7641
6388.244,29.4186,0.6940
6389.714,29.3973,0.6783
6391.187,30.0256,0.6797
6392.658,29.2676,0.7091
6394.128,31.3225,0.8151
6395.603,31.0585,0.8909
6397.074,29.7784,0.7854
6398.549,29.7350,0.7197
6400.021,30.9208,0.7124
6401.497,30.0440,0.6870
6402.970,31.4896,0.8712
6404.443,32.5496,1.3169
6405.920,33.0394,1.3137
6407.393,27.5184,0.9293
6408.871,28.4470,0.7363
6410.345,30.0762,0.6990
6411.824,30.6585,0.6853
6413.299,30.8682,0.6805
6414.774,30.5254,0.6730
6416.253,31.2458,0.6798
6417.729,31.0344,0.6969
6419.209,31.7822,0.7798
6420.686,33.0879,0.8557
6422.166,31.2425,0.8098
6423.644,30.2337,0.7135
6425.122,30.7126,0.6933
6426.603,31.2750,0.7161
6428.082,33.2555,0.8812
6429.564,32.8344,1.2896
6431.043,35.1470,1.3357
6432.526,31.7513,0.9070
6434.006,31.5458,0.7535
6435.486,31.8735,0.6975
6436.970,31.9370,0.6912
6438.451,32.9899,0.6940
6439.936,32.3201,0.6880
6441.417,32.4756,0.6884
6442.903,33.5540,0.6937
6444.385,33.5957,0.6889
6445.867,32.7235,0.6764
6447.354,33.0260,0.7041
6448.837,35.4530,0.8196
6450.324,34.5561,0.9049
6451.808,33.3967,0.7960
6453.296,34.5902,0.7121
6454.780,33.1707,0.7023
6456.265,34.7892,0.8262
6457.754,37.4185,1.0918
6459.240,37.8680,1.0527
6460.729,34.6425,0.8501
6462.215,36.5471,0.7644
6463.706,37.8925,0.7501
6465.193,39.1408,0.7489
6466.680,38.3518,0.7441
6468.171,39.0045,0.7583
6469.659,38.7524,0.7589
6471.151,38.9914,0.7630
6472.640,39.7263,0.7604
6474.132,39.5636,0.7550
6475.622,40.1780,0.7631
6477.111,40.0295,0.7630
6478.605,41.1071,0.7759
6480.095,40.5829,0.7851
6481.590,42.3857,0.8458
6483.081,41.1839,0.8432
6484.576,42.5477,0.8215
6486.067,41.4055,0.7878
6487.563,41.1005,0.7930
6489.056,42.4083,0.8571
6490.548,41.8831,0.9063
6492.045,42.3769,0.8832
6493.539,41.1718,0.7949
6495.036,42.2946,0.7925
6496.530,43.3879,0.8095
6498.028,44.7194,0.8192
6499.523,43.5170,0.8052
6501.018,43.8917,0.8113
6502.518,45.3401,0.8303
6504.013,44.5726,0.8178
6505.513,44.4641,0.8124
6507.010,44.9861,0.8196
6508.510,45.4584,0.8294
6510.008,45.5989,0.8367
6511.505,46.3627,0.8445
6513.007,45.5900,0.8426
6514.505,45.1407,0.8431
6516.007,46.9627,0.8613
6517.506,45.4424,0.8565
6519.009,46.7217,0.8902
6520.509,46.6316,0.9049
6522.009,45.4564,0.8765
6523.513,46.1347,0.8702
6525.014,46.2093,0.8894
6526.518,46.8244,0.9107
6528.020,46.5385,0.9160
6529.525,46.2605,0.9218
6531.027,46.3650,0.9077
6532.530,47.0971,0.8752
6534.036,47.4481,0.8544
6535.539,46.5518,0.8358
6537.046,45.7629,0.8363
6538.550,47.0218,0.8552
6540.058,47.5886,0.8602
6541.563,47.1711,0.8479
6543.067,49.0674,0.8628
6544.576,50.1287,0.8804
6546.082,49.3425,0.8762
