# SDSS J233254.46+151305.4 -- double-peaked broad H-alpha AGN, the Day 8 in-class exercise object
# Source paper: Strateva, I. V., et al. 2003, AJ, 126, 1720, "Double-peaked Low-Ionization Emission Lines in AGN"
#   (arXiv:astro-ph/0307357), Table 1 (main sample), row "SDSS J233254.46+151305.4", z=0.2146, comment "2P" (two prominent peaks)
# Spectrum: SDSS Legacy spectrograph, plate-mjd-fiber = 747-52234-354, run2d=26, DR17
# URL downloaded: https://dr17.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/0747/spec-0747-52234-0354.fits
# Downloaded: 2026-09-16 (file written 2026-09-16)
# Fiber position (PLUG_RA, PLUG_DEC): 353.22693, 15.21817; pipeline CLASS=QSO, ZWARNING=0
# Redshift used for de-redshifting: SDSS pipeline z = 0.2144364 (Z_ERR = 5.57e-05) from HDU2 of the spec file
# wave_rest_A: rest-frame wavelength in Angstrom, IN AIR (vacuum->air by the IAU/Morton 1991 formula used in the SDSS docs, then /(1+z))
# flux: observed flux in SDSS units, 1e-17 erg/s/cm^2/A; flux_err: 1/sqrt(ivar); pixels with ivar == 0 dropped (0 of 465)
# Window: rest-frame 6200-6900 A (465 pixels). Data are public: SDSS DR17 (https://www.sdss.org/dr17/); SDSS-IV acknowledgement applies.
wave_rest_A,flux,flux_err
6200.195,20.8262,0.9193
6201.625,19.9023,0.8733
6203.052,20.8463,0.8114
6204.479,21.8606,0.8070
6205.909,21.1062,0.8018
6207.337,20.7491,0.8068
6208.768,20.0073,0.8127
6210.197,21.0227,0.8071
6211.629,19.8878,0.7944
6213.058,21.7730,0.8299
6214.487,21.2688,0.8484
6215.920,20.9940,0.8520
6217.350,21.2950,0.8392
6218.784,20.4052,0.8094
6220.214,20.6442,0.8293
6221.649,21.2936,0.8565
6223.080,20.6695,0.8563
6224.512,20.1036,0.8295
6225.947,21.0542,0.8176
6227.379,20.8730,0.8059
6228.815,21.2110,0.8142
6230.248,22.4796,0.9003
6231.685,20.2844,0.8786
6233.119,21.7842,1.0346
6234.556,19.4213,1.1061
6235.990,21.2203,0.9804
6237.425,19.5549,0.9809
6238.863,20.8196,0.9934
6240.298,20.8220,0.8124
6241.737,20.7921,0.8019
6243.173,20.0265,0.8022
6244.613,20.3732,0.8527
6246.050,20.3152,0.9070
6247.486,21.0351,0.8683
6248.927,21.2443,0.8135
6250.365,19.8566,0.8098
6251.806,21.8240,0.9388
6253.244,21.8288,1.0910
6254.686,18.1302,1.2263
6256.125,19.0476,1.5087
6257.564,21.2635,1.7560
6259.007,22.1074,1.8028
6260.447,20.9521,1.7357
6261.891,19.8837,1.6612
6263.331,21.2627,1.6347
6264.776,21.3815,1.5307
6266.217,19.8668,1.3875
6267.659,19.5818,1.2479
6269.104,18.9583,1.1026
6270.546,20.4723,1.0230
6271.992,22.1793,0.9785
6273.435,20.4657,0.9538
6274.882,23.1458,1.0416
6276.325,22.7941,1.1407
6277.769,22.9057,1.1900
6279.217,24.0953,1.2907
6280.661,20.2893,1.3164
6282.109,21.3458,1.3307
6283.555,21.2345,1.2022
6285.004,22.6449,1.1737
6286.449,21.1857,1.1321
6287.896,18.5618,1.2330
6289.346,22.6810,1.2874
6290.793,19.9858,1.0312
6292.243,22.5657,1.0209
6293.691,22.6571,1.0599
6295.142,21.4424,1.0323
6296.590,22.2932,1.0106
6298.039,23.8246,1.0218
6299.491,24.3433,1.0217
6300.940,24.2753,1.0301
6302.393,22.8807,1.0185
6303.843,23.3509,0.9533
6305.297,24.7254,0.9401
6306.747,22.7318,0.9554
6308.198,19.1591,1.1726
6309.653,20.0629,1.1738
6311.104,20.9051,0.8931
6312.560,20.6102,0.8455
6314.012,21.0152,0.8523
6315.468,22.9268,0.9108
6316.921,22.2996,0.8909
6318.374,21.6384,0.8648
6319.831,20.9835,0.8697
6321.285,20.9372,0.8875
6322.743,20.7792,0.8792
6324.197,21.7040,0.8851
6325.655,21.3741,0.8946
6327.111,21.6390,0.9135
6328.566,22.5228,0.9167
6330.026,22.4511,0.9243
6331.482,21.5320,0.9359
6332.942,20.2477,0.9202
6334.399,22.0212,0.9231
6335.859,22.2724,0.9215
6337.317,20.8573,0.9247
6338.775,20.8482,0.9260
6340.237,22.8941,0.9479
6341.695,22.7120,0.9122
6343.158,21.9521,0.8627
6344.617,22.6720,0.8490
6346.080,20.7819,0.8532
6347.540,23.2590,0.9634
6349.004,23.4603,1.1734
6350.464,20.4976,1.2923
6351.925,22.2816,1.3889
6353.390,25.1077,1.4665
6354.851,22.7646,1.3286
6356.317,24.7743,1.0663
6357.779,22.4519,0.9390
6359.245,22.8274,1.0585
6360.708,22.0255,1.1316
6362.171,21.3920,0.9775
6363.638,23.1791,0.9035
6365.102,23.6353,0.9029
6366.570,23.7585,0.9316
6368.035,25.2247,0.9838
6369.503,25.5421,0.9890
6370.969,22.8973,0.9245
6372.434,22.1499,0.8740
6373.904,21.6503,0.8743
6375.370,23.8535,0.9170
6376.840,23.4777,0.9202
6378.307,23.9873,0.9638
6379.778,26.3306,1.2255
6381.246,23.2093,1.8084
6382.714,23.2347,1.7514
6384.186,24.1837,1.1253
6385.654,23.4211,0.9355
6387.127,23.9832,1.0620
6388.596,23.5277,1.2334
6390.069,22.0361,1.1374
6391.539,23.1694,0.9665
6393.010,23.5841,0.9158
6394.484,22.4970,0.8780
6395.955,25.3994,0.9191
6397.430,23.1825,0.8964
6398.902,24.0635,1.0227
6400.377,22.0219,1.0345
6401.850,23.4342,0.9722
6403.322,23.8051,0.9460
6404.799,25.3727,1.0296
6406.272,26.0522,1.0670
6407.750,23.2258,0.9922
6409.224,24.5431,0.9866
6410.702,23.3724,0.9365
6412.176,22.9462,0.9080
6413.652,24.3902,0.9715
6415.131,23.7697,1.1476
6416.606,25.7478,1.4612
6418.086,24.4207,1.5075
6419.563,25.4430,1.1206
6421.043,25.7690,0.9558
6422.520,26.3469,0.9397
6423.998,26.3797,0.9350
6425.479,27.7738,0.9640
6426.957,26.2152,1.0237
6428.439,25.0215,1.2056
6429.918,23.8754,1.1617
6431.401,25.3329,1.0665
6432.880,26.7681,1.0026
6434.360,25.8683,0.9611
6435.844,26.2906,0.9833
6437.324,27.2660,1.1954
6438.809,24.3744,1.5933
6440.290,25.8704,1.7137
6441.775,29.1143,1.3212
6443.257,26.9973,1.0323
6444.739,28.5348,0.9905
6446.226,28.3212,0.9878
6447.709,29.1036,0.9901
6449.195,27.1557,0.9767
6450.679,29.3830,1.0139
6452.167,29.2177,1.0058
6453.651,30.0800,1.0337
6455.136,30.7852,1.1674
6456.624,31.3575,1.2587
6458.109,30.9356,1.1412
6459.599,30.6842,1.0287
6461.085,31.7786,1.0575
6462.575,29.8618,1.1054
6464.061,31.8406,1.3292
6465.552,31.2666,1.7285
6467.039,29.0825,1.5524
6468.527,34.1379,1.2872
6470.019,33.5522,1.2413
6471.507,34.9376,1.3248
6472.999,35.7664,1.3076
6474.489,37.0066,1.1924
6475.982,36.3395,1.4048
6477.471,38.1226,1.4876
6478.962,38.0543,1.3586
6480.456,34.4467,1.3889
6481.946,38.6666,1.3249
6483.441,37.2675,1.1760
6484.933,39.6526,1.2481
6486.428,40.7315,1.3651
6487.920,39.3620,1.4047
6489.413,41.3666,1.4583
6490.909,42.8737,1.3870
6492.402,42.9457,1.3266
6493.900,42.4772,1.3837
6495.394,40.3265,1.5363
6496.891,41.6252,1.5448
6498.386,43.8923,1.3887
6499.881,43.7898,1.3154
6501.380,44.7232,1.3148
6502.875,44.2282,1.3096
6504.375,44.7215,1.3219
6505.871,46.3673,1.3659
6507.372,48.5856,1.3928
6508.869,46.1049,1.3225
6510.366,47.0716,1.3467
6511.867,46.6796,1.3803
6513.365,47.4544,1.5654
6514.867,48.7107,1.9728
6516.366,44.1914,1.9990
6517.869,51.3755,1.6689
6519.368,46.8440,1.4847
6520.868,45.2866,1.5502
6522.372,47.4593,1.5987
6523.872,48.3059,1.4942
6525.376,49.5479,1.4114
6526.878,48.7706,1.3918
6528.383,48.9772,1.4935
6529.885,46.2326,1.5740
6531.387,49.3243,1.5637
6532.893,50.6206,1.4471
6534.396,48.1693,1.7186
6535.903,51.6450,1.4545
6537.406,50.0312,1.3996
6538.914,48.0510,1.3626
6540.418,50.4761,1.4102
6541.923,50.6572,1.4546
6543.431,51.3211,1.5411
6544.936,52.2648,1.6001
6546.446,55.6983,1.5917
6547.952,53.8426,1.5156
6549.462,55.0370,1.5087
6550.968,56.1547,1.5071
6552.475,53.4511,1.4574
6553.986,52.8350,1.4507
6555.494,55.8585,1.5982
6557.006,49.4905,1.9461
6558.514,55.1994,2.0586
6560.027,59.8133,1.7445
6561.536,66.1824,1.7046
6563.045,67.7441,1.7451
6564.559,66.9687,1.7169
6566.069,64.5776,1.6944
6567.583,60.8079,1.6929
6569.094,55.0935,1.6859
6570.609,51.5315,1.6282
6572.120,47.9004,1.4798
6573.632,46.8530,1.3680
6575.148,47.5572,1.3553
6576.661,47.0222,1.3618
6578.177,45.6640,1.3931
6579.691,53.5224,1.7450
6581.208,52.2111,2.3443
6582.722,59.8859,2.1710
6584.240,58.3685,1.6211
6585.754,58.3515,1.5790
6587.270,56.8760,1.5416
6588.789,49.8555,1.4220
6590.304,47.6894,1.3655
6591.824,45.7298,1.3313
6593.340,44.3077,1.3026
6594.861,42.5830,1.2783
6596.378,44.7226,1.3532
6597.896,42.8688,1.4149
6599.417,42.4054,1.3995
6600.935,43.6905,1.3361
6602.457,43.2702,1.3298
6603.976,44.0223,1.3319
6605.499,42.8210,1.3390
6607.019,46.6603,1.6058
6608.539,41.0653,1.6978
6610.063,44.9332,1.5180
6611.583,45.0072,1.3600
6613.108,43.9181,1.3315
6614.629,46.1273,1.3808
6616.155,44.6631,1.3380
6617.677,45.1258,1.3190
6619.199,44.5421,1.3083
6620.725,43.3174,1.2942
6622.248,44.7737,1.3139
6623.776,44.7914,1.3012
6625.299,42.3942,1.2686
6626.827,45.8311,1.3281
6628.352,44.0737,1.3650
6629.876,42.6722,1.3932
6631.405,43.6225,1.3372
6632.931,43.9121,1.2919
6634.460,44.6946,1.3067
6635.987,44.4185,1.3638
6637.517,43.3594,1.4813
6639.044,43.5472,1.4635
6640.571,43.4847,1.3212
6642.102,41.6223,1.2535
6643.630,40.5489,1.2367
6645.162,39.6129,1.2223
6646.691,38.7233,1.1983
6648.224,40.4710,1.2347
6649.753,40.0149,1.2378
6651.283,38.7814,1.2153
6652.817,38.0305,1.2018
6654.347,37.7972,1.2178
6655.882,36.3119,1.2084
6657.413,35.8204,1.1823
6658.948,34.8554,1.1324
6660.480,33.5918,1.1197
6662.012,33.9473,1.1462
6663.549,34.2628,1.1883
6665.082,32.1504,1.1467
6666.619,31.1175,1.0976
6668.152,32.2419,1.1075
6669.690,30.1990,1.1350
6671.224,29.0351,1.1615
6672.759,29.0455,1.1229
6674.298,31.1345,1.0906
6675.833,30.3020,1.0579
6677.373,30.8022,1.0550
6678.909,28.6111,1.0253
6680.449,28.0940,1.0083
6681.986,28.6352,1.0079
6683.523,27.8069,1.0042
6685.064,29.2521,1.0281
6686.602,29.3014,1.0558
6688.144,28.4818,1.0608
6689.682,26.9231,1.0309
6691.225,27.3446,1.0277
6692.764,28.0799,1.0311
6694.308,30.4234,1.0644
6695.848,28.2159,1.0594
6697.388,29.3216,1.0846
6698.933,27.0368,1.0632
6700.474,28.1462,1.0747
6702.019,26.0160,1.0388
6703.561,25.7221,1.0221
6705.106,26.0867,1.0285
6706.649,26.8470,1.0661
6708.192,27.2899,1.0710
