# Hogg, Bovy & Lang (2010), "Data analysis recipes: Fitting a model to data", arXiv:1008.4686, Table 1
# Transcribed 2026-09-19 from the authors' LaTeX source (https://arxiv.org/e-print/1008.4686, file straightline.tex, deluxetable label table:data_allerr)
# Columns: ID, x, y, sigma_y, sigma_x, rho_xy. Per-point covariance = [[sigma_x^2, rho_xy*sigma_x*sigma_y],[rho_xy*sigma_x*sigma_y, sigma_y^2]]
# Exercise 1 of the paper uses points 5-20 with x, y, sigma_y only; Exercise 2 uses all 20 points.
# Fetched for ASTR 457 (UIUC), Fall 2026, Lecture 05 (regression / least squares); non-commercial course use, cite the paper.
ID,x,y,sigma_y,sigma_x,rho_xy
1,201,592,61,9,-0.84
2,244,401,25,4,0.31
3,47,583,38,11,0.64
4,287,402,15,7,-0.27
5,203,495,21,5,-0.33
6,58,173,15,9,0.67
7,210,479,27,4,-0.02
8,202,504,14,4,-0.05
9,198,510,30,11,-0.84
10,158,416,16,7,-0.69
11,165,393,14,5,0.30
12,201,442,25,5,-0.46
13,157,317,52,5,-0.03
14,131,311,16,6,0.50
15,166,400,34,6,0.73
16,160,337,31,5,-0.52
17,186,423,42,9,0.90
18,125,334,26,8,0.40
19,218,533,16,6,-0.78
20,146,344,22,5,-0.56
