# Reines & Volonteri 2015, ApJ 813, 82, Table 1: 244 broad-line AGN (arXiv:1508.06274)
# via CDS J/ApJ/813/82/table1.dat, fetched 2026-09-24; log_Mstar and log_MBH in solar masses
nsaid,sdss_name,log_Mstar,log_MBH
25955,J000907.90+142755.8,10.68,6.21
22075,J004236.86-104922.0,10.43,7.07
6452,J012159.81-010224.3,10.47,7.65
23318,J021011.49-090335.5,10.92,8.11
11183,J024912.86-081525.7,10.11,5.70
7741,J030417.77+002827.2,10.61,6.50
68625,J032006.32+402158.6,10.36,6.72
11792,J040929.15-042902.7,9.64,6.76
73503,J073106.44+392639.9,10.58,6.36
82570,J075151.87+494851.9,10.61,6.51
156334,J075243.60+455655.9,11.49,7.03
15665,J075525.28+391109.8,10.19,6.74
9550,J075643.72+445124.1,10.70,6.82
109525,J075850.28+093520.7,10.96,7.25
156392,J075941.30+505022.9,10.31,7.11
35863,J080020.98+263648.8,11.05,6.99
44080,J080243.40+310403.3,10.47,7.80
156465,J080538.89+261003.0,10.51,6.59
115827,J080545.71+073526.2,11.30,7.70
33430,J080707.17+361400.5,10.93,5.83
26326,J080801.75+381935.3,10.09,6.46
109647,J080910.72+110619.1,10.05,6.08
9749,J081319.32+460849.6,10.81,7.08
9885,J081516.87+460430.8,10.93,6.75
76373,J081718.55+520148.1,9.70,6.48
109711,J081726.41+101210.1,10.35,7.40
156668,J082442.80+295920.9,9.77,5.66
33506,J082510.23+375919.7,10.31,6.28
51635,J082620.81+055727.8,10.64,6.88
83111,J082818.67+573912.9,11.11,7.66
15879,J082842.73+454433.2,10.40,7.05
10045,J082912.66+500652.6,9.09,6.26
156815,J083732.60+284221.9,10.77,6.73
84406,J083810.94+245342.9,11.12,6.84
10377,J084137.86+545506.8,10.84,6.99
11841,J084143.50+013149.8,11.29,6.91
84500,J084654.09+252212.3,10.13,7.73
10779,J090613.75+561015.5,9.30,5.40
110048,J090902.35+133019.4,10.69,7.16
12475,J091101.33+571247.1,10.54,7.01
10733,J091102.32+550023.3,10.14,5.98
36219,J091256.44+380538.0,9.95,7.21
116134,J091424.75+115625.5,10.01,5.68
47189,J091520.48+411918.8,10.52,7.14
110287,J091634.32+175508.3,10.68,7.40
10881,J091913.18+552755.2,9.76,6.95
73836,J092115.56+101741.0,10.67,7.36
157240,J092438.89+560743.0,10.80,6.56
106415,J092528.24+233631.0,11.00,7.10
116197,J092603.26+124403.7,10.26,7.23
84993,J092740.77+262701.1,10.52,6.31
108776,J093206.90+172703.2,9.88,6.62
51866,J093327.87+093200.0,10.37,7.06
108853,J093408.59+175644.0,9.76,5.81
85174,J093410.88+305657.9,10.75,7.29
106560,J094204.79+234106.9,10.14,7.10
26951,J094328.71+524811.7,10.65,6.72
51904,J094529.36+093610.4,9.59,6.35
48136,J094838.42+403043.7,10.66,7.32
65158,J094839.73+363649.3,10.60,6.67
85551,J094852.56+285338.4,10.83,7.00
85351,J095220.09+322826.8,10.57,6.41
49262,J095437.22+063719.5,10.90,7.76
17134,J095540.47+050236.5,10.67,5.91
116664,J095745.49+152350.6,10.35,6.56
116678,J095800.22+154722.0,10.71,6.40
157694,J095956.09+130235.9,10.61,7.04
13303,J100207.03+030327.6,10.59,7.22
107119,J100218.78+264805.7,10.96,7.52
36702,J100510.50+543255.7,10.24,5.36
58760,J100819.11+372903.4,11.24,6.65
58829,J100854.93+373929.9,10.20,7.04
85993,J101202.59+301303.0,10.20,7.29
158121,J101718.70+291432.0,10.25,6.98
86061,J101846.01+345007.9,10.24,6.28
158159,J101913.90+635759.0,10.47,7.58
74303,J102306.97+125100.3,10.34,6.40
158273,J102402.40+062942.0,10.11,6.69
65501,J102532.09+102503.9,10.89,6.64
32135,J102841.98+490418.6,10.91,6.88
158462,J103234.30+650224.9,9.89,5.63
59198,J103438.59+393828.2,10.22,6.72
87071,J103751.81+334850.1,10.90,6.43
89787,J104120.48+314039.1,10.27,6.89
17499,J104252.93+041441.1,10.21,7.29
137943,J104438.89+384527.9,11.08,6.81
40316,J104451.72+063548.6,10.96,6.44
65832,J104504.23+114508.7,10.17,6.59
111126,J105415.52+174522.5,10.69,6.94
90239,J105427.88+330943.4,10.18,6.49
55394,J105658.52+441653.1,10.11,7.53
59705,J110016.03+461615.3,9.76,6.44
159111,J110032.29+020656.0,11.26,7.08
159166,J110158.30+101740.9,9.73,7.32
93159,J110422.05+321404.5,9.86,6.74
100800,J110807.47+270602.7,10.33,6.06
159362,J110929.00+284132.9,10.18,5.44
66041,J111045.96+113641.5,11.05,7.18
111757,J111227.30+184926.8,10.38,7.49
48468,J111349.74+093510.7,10.66,7.19
101071,J111752.64+291816.1,10.23,6.85
37249,J111857.69+580323.9,9.96,7.10
101694,J112423.88+274245.3,10.48,6.52
159806,J112536.89+542256.0,9.94,7.27
112558,J112545.34+240823.9,10.36,5.91
60031,J112628.71+472453.8,10.16,6.35
32499,J112637.74+513423.2,10.14,5.99
112630,J112842.51+195313.2,10.39,6.52
52298,J112942.76+555913.1,10.42,6.33
32607,J113240.25+525701.6,10.36,6.48
48537,J113249.27+101747.2,11.31,7.63
52361,J113549.07+565708.4,11.14,6.64
112930,J114013.94+244149.4,10.81,7.00
113207,J114054.08+230744.3,10.05,7.25
160479,J114430.09+365259.9,10.90,8.03
27473,J114433.05+613201.0,11.10,7.14
92352,J114444.89+331915.4,10.65,5.73
170273,J114530.30+094352.0,10.47,6.69
41387,J114545.18+554759.9,11.04,7.16
92431,J114740.08+334720.4,10.74,6.49
52392,J115138.10+561332.1,9.80,6.18
113817,J115710.68+221746.2,10.76,7.30
3322,J120114.35-034041.1,9.54,6.96
118226,J120144.91+201941.9,10.70,6.17
117636,J120208.36+174124.8,10.18,5.91
30736,J120257.81+045045.0,10.71,6.62
160992,J120429.79+201901.0,10.81,6.69
161001,J120440.50+311100.0,10.95,7.16
60514,J120626.27+424426.0,10.62,7.33
119662,J120727.97+253610.9,10.47,6.64
88507,J120929.16+330530.1,10.10,6.62
93287,J121044.27+382010.2,10.43,7.70
38710,J121607.08+504930.4,10.71,8.06
1394,J121826.72-000750.1,9.93,6.56
118473,J121905.27+210632.6,11.05,7.07
102741,J121923.73+303002.7,9.90,5.36
103006,J122215.37+282123.7,9.63,6.84
52675,J122342.82+581446.4,9.29,6.08
